x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1463.5236,480.09457,1543.604,647.5868,0,0.74280095,,person
255.80873,442.88782,325.98788,609.31116,0,0.7065778,,person
204.78145,41.184956,264.5366,155.09514,0,0.69507813,,person
755.55853,444.491,823.90485,602.54266,0,0.68821234,,person
1794.9346,146.98593,1851.342,275.79852,0,0.6815451,,person
1201.0294,119.81351,1255.0768,260.09924,0,0.67136395,,person
1139.0226,499.1,1214.4393,649.8218,14,0.63468826,,bird
1090.7393,47.126087,1134.1761,150.61052,0,0.6116984,,person
35.332123,797.4714,139.67354,992.29047,0,0.60580957,,person
1408.0068,706.05286,1521.2169,888.7167,0,0.5836025,,person
799.96405,73.73941,841.4572,199.50874,0,0.5733329,,person
88.42564,128.20935,144.6196,252.21657,0,0.5428603,,person
1164.4513,150.71396,1212.8193,278.17706,0,0.5411708,,person
853.7316,69.70523,894.09796,195.65224,0,0.53858984,,person
925.1345,180.30533,980.9231,315.44156,0,0.53518933,,person
1615.7092,17.00596,1655.6705,128.3014,0,0.533154,,person
1675.9487,10.852318,1728.0953,140.90256,0,0.5218449,,person
710.2033,237.48106,763.43695,376.0373,0,0.5170871,,person
892.4835,83.86814,934.671,205.06459,0,0.51580286,,person
567.4191,273.18365,629.9948,410.5612,0,0.48177508,,person
358.29102,5.908699,407.7674,135.10213,0,0.4734907,,person
1687.2693,162.8871,1759.9241,293.41803,0,0.45019415,,person
1725.2582,77.694695,1784.3741,176.79749,0,0.42972225,,person
1301.2892,9.089447,1344.3848,108.00739,0,0.42141742,,person
35.517414,796.7124,143.68745,991.9984,14,0.38409325,,bird
1850.4501,707.57983,1919.4948,903.1625,0,0.3614326,,person
725.9587,5.8353424,766.3892,104.71052,0,0.35849613,,person
344.16376,493.78674,399.27267,640.0186,0,0.3462507,,person
1584.2556,19.341871,1623.4021,120.96517,0,0.3406019,,person
984.3214,101.842255,1040.2002,235.18144,0,0.33146885,,person
457.36707,509.61063,515.73254,638.74207,0,0.31041765,,person
1898.0065,102.673256,1919.2504,201.5646,0,0.29233783,,person
1585.9747,15.709099,1637.1981,122.02144,0,0.2898031,,person
1139.5089,498.97897,1214.3112,596.86304,14,0.27596292,,bird
572.0792,202.8041,620.8645,293.95068,0,0.27453768,,person
1851.2476,708.8915,1919.1511,845.4637,0,0.27219155,,person
344.85617,1.7693825,404.897,128.35094,0,0.25950858,,person
1388.1405,2.6103916,1438.5037,183.67708,0,0.25590166,,person
1136.4457,496.52875,1216.1665,644.9971,14,0.8335933,,bird
1136.9973,936.1712,1243.5945,1080.0,0,0.7747122,,person
1452.6512,323.3638,1520.8763,485.41763,0,0.7598525,,person
1467.6436,479.869,1549.0248,647.0839,0,0.75668496,,person
671.69556,632.32837,746.13416,811.6484,0,0.75281245,,person
207.52776,37.212833,266.59515,153.51654,0,0.7364831,,person
255.35298,441.35303,325.43893,610.56793,0,0.7295869,,person
1200.4692,118.90054,1255.3887,256.97977,0,0.70746464,,person
756.18823,440.6683,823.4352,588.84985,0,0.6916262,,person
1795.2283,149.94687,1851.7383,276.41867,0,0.68458736,,person
1091.1666,47.88645,1134.9452,152.66342,0,0.6305081,,person
37.363575,798.91223,139.6679,990.87744,0,0.59714735,,person
799.49634,73.570496,841.5315,199.1125,0,0.5858625,,person
1616.7008,16.945473,1655.6832,128.06703,0,0.5687617,,person
1166.0466,147.64993,1211.7667,278.57382,0,0.5472872,,person
892.9563,84.26285,936.55005,204.52258,0,0.5435102,,person
89.36818,128.15282,144.71658,251.986,0,0.54177314,,person
924.8586,180.8346,980.1484,316.6822,0,0.53803784,,person
1690.2477,163.03038,1756.4147,296.13715,0,0.53605825,,person
852.79285,69.874374,893.73926,194.51857,0,0.5183837,,person
1675.4799,10.783482,1729.2433,139.62021,0,0.5065828,,person
1408.6173,705.7607,1518.3876,888.369,0,0.4902732,,person
353.68204,4.7465,409.42795,132.54749,0,0.4779074,,person
710.34717,233.29129,763.88043,371.23227,0,0.4771615,,person
1300.5575,9.07243,1344.3021,108.14488,0,0.47623137,,person
726.1073,3.194538,764.1147,101.35696,0,0.4544476,,person
1725.4039,77.870636,1785.6804,178.99312,0,0.44824353,,person
1137.3735,496.3232,1214.6796,595.19904,14,0.4435791,,bird
569.44226,285.19907,631.7734,413.67145,0,0.40619484,,person
344.4461,494.11304,398.7444,631.3037,0,0.39679793,,person
570.94574,203.14116,620.6887,296.08435,0,0.3713024,,person
983.8865,100.66356,1039.8351,237.54826,0,0.36734962,,person
1585.2462,20.068972,1623.9653,120.437416,0,0.3571893,,person
37.88426,798.5728,144.42413,991.22687,14,0.3451651,,bird
1897.8838,102.69731,1919.2302,201.27586,0,0.31823412,,person
456.5418,509.9122,515.8045,639.65796,0,0.28610396,,person
155.48398,0.0,190.88998,49.06268,0,0.2834973,,person
1851.8833,708.47986,1919.3262,847.0988,0,0.2543272,,person
1470.2905,480.7284,1548.6381,648.26184,0,0.80762255,,person
1137.2673,491.87952,1213.4121,638.32587,14,0.8045312,,bird
1452.654,324.38687,1523.9897,485.7411,0,0.7992614,,person
1137.6628,931.3614,1243.983,1080.0,0,0.79624057,,person
672.3236,629.8325,746.5853,811.56726,0,0.77611995,,person
210.68074,35.0212,267.14816,152.19424,0,0.7101092,,person
1201.6033,118.17835,1255.3004,254.85678,0,0.6894762,,person
1403.9119,704.7352,1516.2247,888.126,0,0.68846226,,person
756.1633,439.73273,823.83984,591.07,0,0.6820878,,person
253.1158,442.19458,325.3367,608.9248,0,0.68137044,,person
1795.1199,152.24876,1853.1672,278.50195,0,0.65036684,,person
1089.8047,48.201496,1135.0112,154.64922,0,0.6114754,,person
799.40137,73.74188,842.36707,199.8484,0,0.58816385,,person
710.55,226.01656,765.6576,369.37015,0,0.5849978,,person
926.6999,180.72446,979.6452,318.79037,0,0.57948005,,person
1687.7725,166.81091,1758.29,299.06543,0,0.5572108,,person
89.236015,127.982285,144.8504,251.50992,0,0.536647,,person
1618.1986,17.161423,1656.018,127.56766,0,0.53002775,,person
852.7584,69.062965,893.2405,193.91063,0,0.5257795,,person
